,Name,Period,Diet,Country,UE
495,Iguanodon,Cretaceous,herbivore,"England, Belgium, USA, France, Mongolia & Spain",no info
496,Iliosuchus,Cretaceous,carnivore,England,no info
497,Ilokelesia,Cretaceous,carnivore,South America,no info
498,Imperobator,Late Cretaceous,carnivore,Antarctica,no info
499,Incisivosaurus,Cretaceous,herbivore/omnivore,China,no info
500,Indosaurus,Late Cretaceous,carnivore,India,no info
501,Indosuchus,Late Cretaceous,carnivore,India,no info
502,Inosaurus,Cretaceous,carnivore,Egypt,no info
503,Irritator,Cretaceous,carnivore,South America,no info
504,Isaberrysaura,Jurassic,herbivore,South America,no info
505,Isanosaurus,Triassic,herbivore,Thailand,no info
506,Ischyrosaurus,Jurassic,herbivore,England,no info
507,Isisaurus,Late Cretaceous,herbivore,India,no info
508,Itapeuasaurus,Cretaceous,herbivore,South America,no info
509,Itemirus,Cretaceous,carnivore,Uzbekistan,no info
510,Iuticosaurus,Cretaceous,herbivore,England,no info
511,Jainosaurus,Late Cretaceous,herbivore,India,no info
512,Jaklapallisaurus,Late Triassic,herbivore,India,no info
513,Janenschia,Jurassic,herbivore,Tanzania,no info
514,Jaxartosaurus,Cretaceous,herbivore,Kazakhstan,no info
515,Jeholosaurus,Cretaceous,herbivore,China,no info
516,Jeyawati,Cretaceous,herbivore,North America,no info
517,Jianchangosaurus,Cretaceous,herbivore,China,no info
518,Jiangjunosaurus,Jurassic,herbivore,China,no info
519,Jiangshanosaurus,Cretaceous,herbivore,China,no info
520,Jiangxisaurus,Cretaceous,omnivore,China,no info
521,Jinfengopteryx,Jurassic/Cretaceous,omnivore,China,no info
522,Jingshanosaurus,Jurassic,herbivore,China,no info
523,Jintasaurus,Cretaceous,herbivore,China,no info
524,Jinzhousaurus,Cretaceous,herbivore,China,no info
525,Jiutaisaurus,Cretaceous,herbivore,China,no info
526,Jobaria,Jurassic,herbivore,Niger,no info
527,Jubbulpuria,Late Cretaceous,carnivore,India,no info
528,Judiceratops,Cretaceous,herbivore,North America,no info
529,Juratyrant,Jurassic,carnivore,England,no info
530,Juravenator,Jurassic,carnivore,Germany,no info
531,Kaatedocus,Jurassic,herbivore,North America,no info
532,Kaijiangosaurus,Jurassic,carnivore,China,no info
533,Kakuru,Early Cretaceous,?,Australia,no info
534,Kamuysaurus,Cretaceous,Herbivore,Japan,no info
535,Kangnasaurus,Cretaceous,herbivore,South Africa,no info
536,Karongasaurus,Cretaceous,herbivore,Malawi,no info
537,Katepensaurus,Cretaceous,herbivore,South America,no info
538,Kayentavenator,Jurassic,carnivore,North America,no info
539,Kazaklambia,Cretaceous,herbivore,Kazakhstan,no info
540,Kelmayisaurus,Cretaceous,carnivore,China,no info
541,Kentrosaurus,Jurassic,herbivore,Tanzania,no info
542,Kerberosaurus,Cretaceous,herbivore,Russia,no info
543,Khaan,Cretaceous,carnivore/omnivore,Mongolia,no info
544,Khetranisaurus,Cretaceous,herbivore,Pakistan,no info
545,Kileskus,Jurassic,carnivore,Russia,no info
546,Kinnareemimus,Cretaceous,omnivore,Thailand,no info
547,Klamelisaurus,Jurassic,herbivore,China,no info
548,Kol,Cretaceous,carnivore,Mongolia,no info
549,Koparion,Jurassic,carnivore,North America,no info
550,Koreaceratops,Cretaceous,herbivore,South Korea,no info
551,Koreanosaurus,Cretaceous,herbivore,South Korea,no info
552,Koreanosaurus,Cretaceous,carnivore?,Korea,no info
553,Koshisaurus,Cretaceous,herbivore,Japan,no info
554,Kosmoceratops,Cretaceous,herbivore,North America,no info
555,Kotasaurus,Early Jurassic,herbivore,India,no info
556,Kritosaurus,Cretaceous,herbivore,North America,no info
557,Kryptops,Cretaceous,carnivore,Niger,no info
558,Kukufeldia,Cretaceous,herbivore,England,no info
559,Kulceratops,Cretaceous,herbivore,Uzbekistan,no info
560,Kulindadromeus,Jurassic,herbivore,Russia,no info
561,Kunbarrasaurus,Early Cretaceous,herbivore,Australia,no info
562,Kundurosaurus,Cretaceous,herbivore,Russia,no info
563,Kunmingosaurus,Jurassic,herbivore,China,no info
